Index,Symbol,Name,EgeriaScore,PortfolioWeight,YearlyReturn5YrAvg,P/E Ratio Norm,Price/Sales Norm,Beta Norm,Quick Ratio Norm,Debt/Equity Norm,EBIDTA Margin Norm,5 Year STD Norm,10 Year STD Norm,EBIDTA Avg Growth Rate Norm,Revenue Avg Growth Rate Norm,5 Year Return Norm,10 Year Return Norm
098,TRV,"unkown",9.952,0.0,15.41,0.6934643652637599,1.0217735150420575,1.0434872303685332,,1.9188981180530476,,-1.4755340715215643,-0.6003841626259803,,-1.2017993491232926,1.0810830595430496,0.8326372026385601
099,GATX,"unkown",9.755,0.0,17.51,0.5476638217685316,-2.961529420272906,-0.8806883737902843,3,1.9203431588209414,3,-1.072409753867463,-1.386961777457496,-1.4389239094662298,-1.9293706300724989,1.5020655761275463,0.006968689271955857
100,AMGN,"unkown",9.368,0.0,14.65,0.22186864175475168,-3,1.161886895821707,0.053719008264462964,1.708209242618742,3,-0.8187466668048975,-0.7003359099246804,-1.9872564821005851,-2.2933480164691495,0.929294314287618,0.5071819755352984
101,AAPL,"unkown",9.215,0.0,59.3,-0.19938815226189485,-3,-2.349057698915112,-0.31337572604398933,1.9065307501689568,1.444773998848864,-2.2423787244015037,-1.279234925451922,0.8092070848113011,-0.44981921287070925,3,3
102,ATO,"unkown",9.16,0.0,6.03,0.5046186046767306,-3,0.7477034220154671,-1.4706814767498255,1.9785706799886367,2.644397269239192,0.16632715565804634,0.5151461224774341,-0.8879209768653379,0.056325675362245774,-0.7931534420062438,1.0085054528573494
103,AON,"unkown",9.155,0.0,20.08,-0.08016174813659226,-3,-0.2458512551547698,-1.5902267793635398,2.840217917675545,0.9223983253588514,-1.4779789031205723,0.04535024828261225,-0.3924618403610392,-1.6854644961221716,2.0156362326657065,2.0618394054934925
104,SO,"unkown",9.118,0.0,12.98,0.4862328217630153,-2.266957818929006,1.5898483490048505,-1.3003638523798915,1.9337832336852818,2.664000316794044,-0.7147685338691092,-0.06829156535589131,-1.2398988465787562,-1.2423203667161107,0.5956022471387808,0.06744130596057403
105,ITW,"unkown",9.06,0.0,21.01,-0.22829819351502295,-3,-1.694529659591939,-0.15358288770053474,1.916965471447543,0.7838827838827839,-0.38313444648319006,0.2098900264693473,-0.8433344998245513,-1.2482815954835356,2.2024174732797857,1.9965735029393332
106,ABT,"unkown",9.047,0.0,13.82,-1.1801224170122213,-3,0.33595818706343705,0.3264215013366085,1.9821842861953736,0.6288364207534469,-0.3305397107808048,0.3887706734433598,-1.3281143092183776,-1.8207522884517804,0.7636103018930106,1.5752583830826712
107,CAT,"unkown",8.815,0.0,37.46,0.7000454116917254,-1.4896480553013052,-1.6802682281112191,-0.5142824234047454,1.9302626449163844,0.341932597673725,-3,-2.580344568992574,3,0.43508212483779685,3,2.8221450566004305
108,EXPO,"unkown",8.806,0.0,9.97,-1.5871077036802101,-3,0.5975794503918791,2.379126546393344,1.9836728870915652,0.2400450103024407,-2.5090127619564866,-1.653697844592907,0.3035843287096448,-0.9163609215642093,-0.006212657433484878,3
109,LRCX,"unkown",8.627,0.0,99.64,-1.145947716375392,-3,-3,1.9179133259002925,1.9742478695939623,1.1174493074632812,-3,-3,2.2069146841887948,1.3041397429626933,3,3
110,WMT,"unkown",8.624,0.0,19.8,0.739735809170514,2.625832060640278,1.5711137863932625,-1.6408165036117919,1.9584822604409788,-1.4722551644384154,0.2842512051017483,0.4101926363953714,-3,-2.0839185206396467,1.960674208382498,0.6385329966718499
111,PHM,"unkown",8.55,0.0,64.88,1.375711718718978,0.4561384626092926,-3,1.2860109389266805,1.9890134800669963,0.19814004588216388,-3,-3,2.266151101968788,-0.24432413134000192,3,3
112,CMS,"unkown",8.494,0.0,5.37,0.38883215313171987,-1.1434288061634188,2.1546552551183624,-1.1910189982728843,1.9326829268292685,1.7335834896810502,0.16877560813993764,0.6211787965714333,-2.013977145065663,-1.7806827499094677,-0.9260194525430012,0.5700422391336898
113,TT,"unkown",8.273,0.0,55.54,-0.7552633256290227,-3,-1.3831039278295454,-0.661237300735112,1.9646188815187557,-0.2181303917409136,-2.230495052795419,-0.83231799090027,0.9902654594365246,-0.522056537160536,3,3
114,PWR,"unkown",8.203,0.0,117.0,-2.1370297042326416,0.13690954688042106,-1.4670819152351777,0.7293211967660032,1.9682605626920266,-1.1520680334252043,-2.891133132257931,-2.4371994771572396,1.8702219226850538,1.6473240421582638,3,3
115,TXRH,"unkown",8.135,0.0,31.36,-0.781645324942418,-0.7196622799223527,-1.03139318931465,-1.2495110231086857,1.971342393808325,-0.8921128266423012,-3,-2.2677252802367933,3,2.047434398226706,3,3
116,ACN,"unkown",7.986,0.0,29.66,-1.0032725012878467,-3,-1.9211527751893276,0.3629016719271734,1.9807053537368915,-0.35424064620054874,-1.3301671784451994,-0.31851614912550286,-1.5160445761751302,-0.33488421497609694,3,3
